Date,Price,Open,High,Low,Vol.,Change %
18-Jun-18,80,84.5,84.5,79,245.62K,-5.33%
19-Jun-18,79.5,82,82,79,64.22K,-0.63%
20-Jun-18,81.9,81.9,81.9,81,23.08K,3.02%
21-Jun-18,80,81.8,81.8,79.5,121.39K,-2.32%
22-Jun-18,79.15,80.05,80.85,79,69.46K,-1.06%
25-Jun-18,76.5,79.15,79.2,76.5,575.72K,-3.35%
26-Jun-18,75.4,77,77.8,75,232.42K,-1.44%
27-Jun-18,75.2,75.4,76,75,91.57K,-0.27%
28-Jun-18,72,75.3,76,72,421.80K,-4.26%
29-Jun-18,69.3,70,70,68.9,579.10K,-3.75%
2-Jul-18,68.2,69.3,70,68,331.74K,-1.59%
3-Jul-18,66.8,68.2,69.2,66.5,302.10K,-2.05%
4-Jul-18,67.45,67.7,68,66.65,677.36K,0.97%
5-Jul-18,66.5,67.45,67.45,66.5,337.67K,-1.41%
6-Jul-18,66.05,66.6,67,66,143.69K,-0.68%
9-Jul-18,66,66.9,66.9,66,72.91K,-0.08%
10-Jul-18,65.6,66.1,66.5,65.5,240.10K,-0.61%
11-Jul-18,67.65,66,68.9,66,283.53K,3.13%
12-Jul-18,70.4,69,71.55,68.7,233.41K,4.07%
13-Jul-18,71,70.35,72,69.95,220.60K,0.85%
16-Jul-18,71,71.2,72.85,71,166.24K,0.00%
17-Jul-18,71.1,71.95,72.15,70.5,72.10K,0.14%
18-Jul-18,71.5,71.6,72,71.1,95.27K,0.56%
19-Jul-18,70.15,71.6,71.6,70.15,115.29K,-1.89%
20-Jul-18,69.9,70.15,70.5,69.65,170.04K,-0.36%
23-Jul-18,70,69.9,70.5,69.75,239.49K,0.14%
24-Jul-18,70,70,70.5,69.8,222.46K,0.00%
25-Jul-18,70.1,70,70.8,69.95,665.20K,0.14%
26-Jul-18,71.5,70.3,72,70.3,153.19K,2.00%
27-Jul-18,70.9,72,72,70.45,52.76K,-0.84%
30-Jul-18,70,71.3,71.95,69.75,745.39K,-1.27%
31-Jul-18,70.35,70,70.95,70,120.83K,0.50%
1-Aug-18,70.4,70.9,71,69.8,238.26K,0.07%
2-Aug-18,69.95,70.4,70.85,69.75,167.40K,-0.64%
3-Aug-18,69.95,69.95,70.85,69.65,472.74K,0.00%
6-Aug-18,69.35,70,70.1,69.35,184.16K,-0.86%
7-Aug-18,69.4,69.5,70,69.35,81.84K,0.07%
8-Aug-18,70,69.95,70.4,69.85,372.19K,0.86%
9-Aug-18,69.95,70,70.05,69.8,879.42K,-0.07%
10-Aug-18,70.35,70,71.1,69.95,2.16M,0.57%
13-Aug-18,70,70.35,71,69.7,306.19K,-0.50%
14-Aug-18,70,70,70.1,69.7,121.53K,0.00%
15-Aug-18,70.3,70,70.95,70,157.76K,0.43%
16-Aug-18,71.05,70.45,71.95,70.4,353.31K,1.07%
17-Aug-18,71.65,71.3,71.9,71.3,311.23K,0.84%
20-Aug-18,71.4,71.65,71.7,71.2,316.00K,-0.35%
22-Aug-18,71.4,71.4,71.7,71,114.52K,0.00%
23-Aug-18,72.8,71.4,74.15,71.4,402.86K,1.96%
24-Aug-18,72,73,74,71.9,657.35K,-1.10%
28-Aug-18,72.65,72.1,74,72.1,116.47K,0.90%
29-Aug-18,73.1,72.9,74.4,72.7,194.84K,0.62%
30-Aug-18,74.35,73.15,74.6,73.15,222.12K,1.71%
31-Aug-18,72,74.35,75,72,275.21K,-3.16%
3-Sep-18,73,74.4,74.95,72.7,234.69K,1.39%
4-Sep-18,76.9,74.4,76.95,74.4,160.01K,5.34%
5-Sep-18,75.2,77,77.1,75.2,228.38K,-2.21%
6-Sep-18,72.5,75.2,75.2,72.5,197.31K,-3.59%
7-Sep-18,73.7,73.5,74.2,73.3,82.05K,1.66%
10-Sep-18,74.1,73.7,74.5,72.8,151.71K,0.54%
11-Sep-18,72,74.1,74.2,72,226.06K,-2.83%
12-Sep-18,72,72.1,72.95,71.9,204.13K,0.00%
13-Sep-18,71.6,71.95,71.95,71.2,220.92K,-0.56%
14-Sep-18,71.05,71.6,71.6,70.8,161.02K,-0.77%
17-Sep-18,72,71.05,72.9,71,54.28K,1.34%
18-Sep-18,72,72.5,72.75,71.75,83.22K,0.00%
19-Sep-18,71.5,70.8,72,70.75,91.71K,-0.69%
20-Sep-18,72,71.5,72.75,71,108.59K,0.70%
21-Sep-18,72.8,72.3,72.8,70.1,225.89K,1.11%
24-Sep-18,72.1,72.8,72.85,70,23.42K,-0.96%
25-Sep-18,72,72.1,72.4,72,130.69K,-0.14%
26-Sep-18,72.1,72,72.2,71.9,112.13K,0.14%
27-Sep-18,72.6,72.2,72.75,72.1,129.36K,0.69%
28-Sep-18,70,72.5,72.55,70,253.01K,-3.58%
1-Oct-18,66.1,71,71.75,66.1,325.14K,-5.57%
2-Oct-18,67.15,66.1,67.85,66.1,306.63K,1.59%
3-Oct-18,67.55,68,68,67.2,25.22K,0.60%
4-Oct-18,67.3,67.55,67.9,67.2,32.14K,-0.37%
5-Oct-18,67.2,67.5,69,67.2,35.36K,-0.15%
8-Oct-18,67.45,67.35,68.5,67.25,29.23K,0.37%
9-Oct-18,67.5,68,68.15,67.25,22.60K,0.07%
10-Oct-18,67,68,68,67,39.10K,-0.74%
11-Oct-18,66.1,67,67,66.05,250.43K,-1.34%
12-Oct-18,67,66.2,68,66.1,452.08K,1.36%
15-Oct-18,67.8,67.55,69.8,67.4,333.71K,1.19%
16-Oct-18,62.463,64.782,65.255,62.463,76.21K,-7.87%
17-Oct-18,62.889,62.7,64.356,62.7,209.93K,0.68%
18-Oct-18,62.463,63.078,64.356,62.463,105.51K,-0.68%
19-Oct-18,61.043,62.463,63.315,61.043,800.53K,-2.27%
22-Oct-18,61.942,61.091,62.368,61.091,45.33K,1.47%
23-Oct-18,61.895,61.99,63.125,61.895,120.87K,-0.08%
24-Oct-18,61.99,63.031,63.031,61.99,96.74K,0.15%
25-Oct-18,61.091,61.99,62.416,61.091,69.92K,-1.45%
26-Oct-18,62.842,62.274,62.842,61.801,19.06K,2.87%
29-Oct-18,62.842,62.842,62.936,62.652,35.34K,0.00%
30-Oct-18,62.889,62.889,64.119,62.889,52.84K,0.08%
31-Oct-18,60.57,63.883,63.883,60.57,166.90K,-3.69%
5-Nov-18,64.356,61.517,64.64,61.517,105.26K,6.25%
6-Nov-18,65.444,64.498,65.681,64.356,372.58K,1.69%
7-Nov-18,65.255,65.444,65.539,64.356,53.10K,-0.29%
8-Nov-18,64.356,65.208,65.539,61.848,274.03K,-1.38%
9-Nov-18,62.132,64.356,64.356,61.99,85.55K,-3.46%
12-Nov-18,59.624,62.084,62.132,59.624,331.46K,-4.04%
13-Nov-18,58.11,59.671,59.718,57.968,1.32M,-2.54%
14-Nov-18,58.961,58.393,60.57,58.251,561.45K,1.47%
15-Nov-18,59.624,59.198,60.476,59.198,333.37K,1.12%
16-Nov-18,61.753,59.624,62.226,59.624,879.36K,3.57%
19-Nov-18,63.788,61.801,64.356,61.801,214.92K,3.30%
20-Nov-18,62.463,63.788,63.788,62.463,81.89K,-2.08%
21-Nov-18,62.463,62.558,64.545,62.463,275.28K,0.00%
22-Nov-18,62.51,62.463,62.984,62.463,101.29K,0.08%
23-Nov-18,64.356,63.173,65.208,62.51,72.30K,2.95%
26-Nov-18,68.189,65.302,69.466,65.302,740.37K,5.96%
27-Nov-18,68.236,68.615,69.514,66.864,58.68K,0.07%
28-Nov-18,67.1,68.236,69.277,67.1,111.87K,-1.66%
29-Nov-18,70.176,67.195,70.413,67.195,285.82K,4.58%
3-Dec-18,69.798,70.034,72.211,69.561,136.63K,-0.54%
4-Dec-18,71.454,70.933,71.832,70.933,140.51K,2.37%
5-Dec-18,68.236,70.981,70.981,68.236,94.45K,-4.50%
6-Dec-18,69.798,69.419,70.744,69.419,35.37K,2.29%
7-Dec-18,70.649,68.331,71.359,68.331,459.01K,1.22%
10-Dec-18,68.283,68.615,70.034,66.816,234.86K,-3.35%
11-Dec-18,68.946,67.952,70.224,67.952,55.88K,0.97%
12-Dec-18,69.23,68.946,69.798,68.946,86.59K,0.41%
13-Dec-18,69.561,69.23,70.082,69.23,397.36K,0.48%
14-Dec-18,69.466,70.034,70.034,69.466,146.58K,-0.14%
17-Dec-18,69.088,69.656,70.034,69.088,52.37K,-0.54%
18-Dec-18,69.088,69.088,69.466,68.851,111.91K,0.00%
19-Dec-18,69.987,69.561,70.034,69.088,205.69K,1.30%
20-Dec-18,68.141,69.987,70.034,67.29,519.08K,-2.64%
21-Dec-18,68.141,68.141,69.277,68.141,251.44K,0.00%
26-Dec-18,69.845,68.236,70.034,68.141,43.77K,2.50%
27-Dec-18,69.561,69.561,69.845,68.662,41.22K,-0.41%
28-Dec-18,69.277,69.608,70.129,68.946,114.33K,-0.41%
2-Jan-19,69.561,69.277,70.034,69.088,53.02K,0.41%
3-Jan-19,74.009,70.034,74.53,70.034,395.89K,6.39%
4-Jan-19,74.293,73.82,74.435,72.921,188.97K,0.38%
7-Jan-19,75.24,74.435,75.571,74.246,127.52K,1.27%
8-Jan-19,73.82,75.24,75.24,73.82,91.65K,-1.89%
9-Jan-19,74.956,73.82,75.24,73.82,251.88K,1.54%
10-Jan-19,76.375,75.192,76.943,75.145,201.82K,1.89%
11-Jan-19,75.713,76.375,76.659,75.713,284.56K,-0.87%
14-Jan-19,75.429,75.713,76.186,74.766,298.06K,-0.38%
15-Jan-19,75.24,75.429,76.943,75.098,177.60K,-0.25%
16-Jan-19,76.091,75.24,76.612,74.766,194.64K,1.13%
17-Jan-19,76.186,75.807,76.423,75.807,69.82K,0.12%
18-Jan-19,76.943,76.139,77.889,75.713,421.36K,0.99%
21-Jan-19,78.079,77.889,78.079,77.132,84.51K,1.48%
22-Jan-19,77.606,78.173,78.931,77.606,189.49K,-0.61%
23-Jan-19,78.363,77.984,78.552,77.416,826.15K,0.98%
24-Jan-19,79.498,78.363,79.877,78.363,305.81K,1.45%
25-Jan-19,81.107,79.546,81.202,79.546,391.32K,2.02%
28-Jan-19,84.183,81.107,84.42,81.107,514.32K,3.79%
29-Jan-19,83.331,84.23,84.42,82.243,90.69K,-1.01%
30-Jan-19,83.284,83.331,83.379,81.107,320.91K,-0.06%
31-Jan-19,83.284,83.284,83.757,80.539,165.42K,0.00%
1-Feb-19,84.136,83.284,84.23,83.237,248.61K,1.02%
4-Feb-19,84.088,84.183,84.562,83.757,157.27K,-0.06%
6-Feb-19,86.36,84.088,86.407,84.088,244.54K,2.70%
7-Feb-19,85.65,86.313,86.313,85.603,191.65K,-0.82%
8-Feb-19,86.076,85.65,86.313,85.177,98.17K,0.50%
11-Feb-19,81.391,86.123,86.123,81.391,136.96K,-5.44%
12-Feb-19,82.101,81.486,83.284,81.391,94.52K,0.87%
13-Feb-19,82.338,82.811,83.189,82.243,94.10K,0.29%
14-Feb-19,83,82.338,83,81.391,38.24K,0.80%
15-Feb-19,81.864,82.953,82.953,81.486,87.04K,-1.37%
18-Feb-19,79.498,81.864,82.338,78.599,159.30K,-2.89%
19-Feb-19,79.972,79.498,80.397,77.795,50.66K,0.60%
20-Feb-19,79.498,79.972,80.161,79.498,60.65K,-0.59%
21-Feb-19,79.782,79.593,81.391,79.025,85.15K,0.36%
22-Feb-19,81.155,81.959,81.959,80.255,48.12K,1.72%
26-Feb-19,83.047,81.155,83.047,80.255,56.92K,2.33%
27-Feb-19,82.432,83,83,80.303,80.04K,-0.74%
28-Feb-19,79.546,81.864,81.864,78.836,81.16K,-3.50%
1-Mar-19,76.659,79.593,80.35,76.281,250.06K,-3.63%
4-Mar-19,76.517,76.659,77.322,76.186,212.13K,-0.19%
5-Mar-19,78.552,76.517,79.404,76.517,45.54K,2.66%
6-Mar-19,77.038,78.552,78.552,74.766,85.15K,-1.93%
7-Mar-19,80.255,77.132,80.445,76.091,165.64K,4.18%
8-Mar-19,80.445,80.445,80.587,80.397,145.38K,0.24%
11-Mar-19,77.937,80.255,80.445,76.233,349.52K,-3.12%
12-Mar-19,77.132,78.552,79.972,77.132,126.94K,-1.03%
13-Mar-19,77.464,77.322,78.552,76.896,307.80K,0.43%
14-Mar-19,79.025,78.552,79.12,78.126,10.84K,2.02%
15-Mar-19,77.227,78.552,79.025,77.227,39.97K,-2.28%
18-Mar-19,76.423,77.132,77.132,76.139,492.86K,-1.04%
19-Mar-19,76.423,76.47,78.552,76.423,51.46K,0.00%
20-Mar-19,76.659,76.659,77.416,76.612,41.74K,0.31%
21-Mar-19,78.694,77.322,78.741,77.227,77.55K,2.65%
22-Mar-19,79.64,78.741,80.303,78.741,143.06K,1.20%
25-Mar-19,76.801,79.64,79.735,76.423,54.10K,-3.57%
26-Mar-19,77.416,77.606,78.079,76.896,27.92K,0.80%
27-Mar-19,77.085,77.511,77.842,76.99,108.59K,-0.43%
28-Mar-19,77.606,77.18,78.126,77.085,26.50K,0.68%
29-Mar-19,78.505,77.511,78.647,76.801,512.97K,1.16%
1-Apr-19,77.038,78.505,78.552,76.706,139.50K,-1.87%
2-Apr-19,78.268,77.416,78.647,77.322,308.07K,1.60%
3-Apr-19,77.464,78.268,78.268,77.132,80.37K,-1.03%
4-Apr-19,79.025,77.558,79.782,77.558,184.09K,2.02%
5-Apr-19,81.391,79.025,81.391,78.552,261.43K,2.99%
8-Apr-19,80.255,81.391,81.391,79.924,50.40K,-1.40%
10-Apr-19,80.445,79.972,80.445,79.498,209.63K,0.24%
11-Apr-19,82.338,80.445,84.041,80.445,1.75M,2.35%
12-Apr-19,79.498,82.29,82.338,79.498,426.76K,-3.45%
15-Apr-19,79.498,79.546,80.445,79.309,215.20K,0.00%
16-Apr-19,77.322,79.498,80.445,77.227,276.09K,-2.74%
17-Apr-19,78.552,77.322,78.552,77.227,183.62K,1.59%
22-Apr-19,78.173,78.552,78.552,77.132,21.97K,-0.48%
23-Apr-19,79.404,78.173,79.404,77.132,16.52K,1.57%
24-Apr-19,77.795,78.741,78.741,77.606,18.58K,-2.03%
25-Apr-19,76.848,77.795,77.889,76.659,88.87K,-1.22%
26-Apr-19,77.227,76.848,77.558,76.801,23.44K,0.49%
29-Apr-19,77.464,77.227,77.606,77.038,51.77K,0.31%
30-Apr-19,77.606,77.464,78.552,76.659,175.89K,0.18%
2-May-19,75.902,76.848,76.943,75.713,212.62K,-2.20%
3-May-19,76.186,75.855,76.659,75.855,60.63K,0.37%
6-May-19,76.99,76.517,77.132,76.375,29.72K,1.06%
7-May-19,76.706,76.754,76.848,76.659,121.48K,-0.37%
8-May-19,76.706,76.706,76.754,76.564,83.06K,0.00%
9-May-19,76.706,76.754,76.754,76.659,347.11K,0.00%
10-May-19,78.552,76.659,79.262,76.659,101.93K,2.41%
14-May-19,78.552,77.606,78.552,76.186,87.28K,0.00%
15-May-19,77.606,78.552,78.552,77.606,51.55K,-1.20%
16-May-19,78.599,77.606,79.972,77.18,341.28K,1.28%
17-May-19,79.782,78.599,80.445,78.599,341.43K,1.51%
20-May-19,80.161,79.782,80.445,78.836,58.82K,0.47%
21-May-19,83.284,81.486,83.757,81.486,768.32K,3.90%
22-May-19,84.23,83.284,84.704,83.284,207.00K,1.14%
23-May-19,83.095,84.23,85.177,82.338,121.29K,-1.35%
24-May-19,84.23,83.284,85.177,82.905,705.17K,1.37%
27-May-19,85.319,84.041,85.366,83.331,193.58K,1.29%
28-May-19,81.391,85.319,85.319,81.391,533.33K,-4.60%
29-May-19,82.527,82.338,83.331,81.58,806.73K,1.40%
30-May-19,85.129,83.757,85.366,83.284,222.00K,3.15%
31-May-19,85.177,85.082,85.65,83.757,513.85K,0.06%
3-Jun-19,87.07,85.366,88.631,85.366,412.51K,2.22%
4-Jun-19,86.407,87.164,87.164,86.36,166.13K,-0.76%
6-Jun-19,86.596,86.407,87.022,86.313,251.48K,0.22%
7-Jun-19,88.3,86.596,89.104,86.596,491.33K,1.97%
10-Jun-19,88.3,89,89,86,357.30K,0.00%
11-Jun-19,89.1,88.3,89.1,87.95,129.67K,0.91%
13-Jun-19,90,89.1,90.4,88.5,291.21K,1.01%
14-Jun-19,88,90,90,87.9,314.38K,-2.22%
17-Jun-19,86.75,88,88,85,225.36K,-1.42%
18-Jun-19,86.1,86.5,86.7,85.5,69.45K,-0.75%
19-Jun-19,88.25,86.5,89.9,86.35,269.15K,2.50%
20-Jun-19,89.4,88.3,89.9,88.3,229.66K,1.30%
21-Jun-19,90.2,89.4,90.2,88.8,94.34K,0.89%
24-Jun-19,90.2,89.45,91.5,89.45,180.58K,0.00%
25-Jun-19,90.05,90,90.9,89,115.40K,-0.17%
26-Jun-19,89,90.05,90.05,88.6,65.17K,-1.17%
27-Jun-19,91.2,89,92,88.9,265.51K,2.47%
28-Jun-19,91,91.2,91.55,91,183.80K,-0.22%
1-Jul-19,89,91,91.2,87.5,562.32K,-2.20%
2-Jul-19,90.25,89,90.5,89,118.38K,1.40%
3-Jul-19,91,90.25,91.1,89.05,215.53K,0.83%
4-Jul-19,91.3,91,91.5,91,62.60K,0.33%
5-Jul-19,92.75,91.2,92.9,91.1,338.39K,1.59%
8-Jul-19,93.4,92.75,93.6,92.65,208.65K,0.70%
9-Jul-19,58,93.4,93.7,58,204.97K,-37.90%
10-Jul-19,87,87,87,87,7.06K,50.00%
11-Jul-19,92.55,92.9,93.55,92.2,430.77K,6.38%
12-Jul-19,93.5,92.9,94,92.9,322.17K,1.03%
15-Jul-19,95.2,93.5,95.9,93.5,465.56K,1.82%
16-Jul-19,96,95.2,96.3,95.2,288.16K,0.84%
17-Jul-19,95.3,96,96.7,95,172.31K,-0.73%
18-Jul-19,95.4,95.5,95.75,95.3,215.22K,0.10%
19-Jul-19,96.45,95.5,96.5,95.25,290.25K,1.10%
22-Jul-19,96.2,96.45,96.5,96,258.09K,-0.26%
23-Jul-19,96.25,96.2,96.5,96.2,208.98K,0.05%
24-Jul-19,96,96.2,96.45,94.95,346.73K,-0.26%
25-Jul-19,95.5,96,96.05,93.8,202.81K,-0.52%
26-Jul-19,95.5,96,96.05,94.8,243.81K,0.00%
29-Jul-19,95.5,95.5,95.65,95.2,112.35K,0.00%
